T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,4,18,2100,0.131940133616,0.0403811349962,0.08195323,-0.19182665015816674,-1.46905931095512,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.136334207481,0.0398777179427,0.08206125,-0.4163524171030638,-1.3021900237206918,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.130749910399,0.0398777278127,0.08100968,-0.16691139847281636,-1.4167275450360757,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.131297070973,0.0397465438172,0.08068397,-0.15580149535849835,-1.4228096282226492,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.133607991995,0.0406357222364,0.08117323,-0.3374399915142807,-1.3257117707718609,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.128109207756,0.0411428382162,0.08031992,-0.037973124370666016,-1.4500243635435,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.13043801197,0.0404169316816,0.0807562,-0.09580372292157223,-1.4499452777664608,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.135955674115,0.0408464580083,0.08320623,-0.35673968383944865,-1.3226321366324152,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.132068743042,0.041047847304,0.08085844,-0.25298858123978696,-1.3619940148422487,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.13089596399,0.0408335247352,0.08043567,-0.17313539688193808,-1.4142280063250756,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
