T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,1,15,2100,0.0572725449127,0.0261840801523,0.05607498,0.46358381746270977,-1.5250164253699818,-0.185302502376,3.77124512046,4.87804878049,0.03139557830654062,-0.21318461155674884,0.120367437441,3.69676435536,4.87804878049,0.043834849063559216,-0.20448867277598692,0.108330693697,4.40393194609,6.09756097561,0.19735990827322714,0.3057609836894759,nan,nan,nan,nan,nan
T,1,15,2100,0.0574577876559,0.0262536011034,0.05512304,0.4470137170899204,-1.5374147843635406,0.0698646372653,3.79808742104,5.24390243902,0.23064916960981005,0.29420908648888444,-0.187449316948,3.7636492494,4.87804878049,-0.12401985365631986,0.05890513053269997,0.266358929574,4.69593601628,6.21951219512,-0.29843876133887576,0.9650624530842733,nan,nan,nan,nan,nan
T,1,15,2100,0.0949082730175,0.00132265721714,0.00070306,1.7376016605317461,1.333119372062348,-0.296800760215,3.65473649671,4.51219512195,0.12377714191706707,0.15834229437173386,-0.00760215394362,3.64755242602,5.36585365854,0.17359889563569525,-0.3435153352248026,-0.045929680076,4.34105761651,6.21951219512,0.0029429569057533196,-0.026773434243399397,nan,nan,nan,nan,nan
T,1,18,2100,0.0574877055112,0.0262087079137,0.05487457,0.4565119711857252,-1.5345319098731494,0.0206427845528,3.90533586565,5.48780487805,-0.03183846477163678,-0.24360436812746356,0.408409552846,3.78363792128,5.24390243902,0.12804071546175386,0.1228185574555396,0.506542174797,4.22344109954,6.00609756098,-0.015424077395389275,-0.3137304601863984,nan,nan,nan,nan,nan
T,1,18,2100,0.0576844635162,0.0261689029387,0.05516231,0.4470475563430996,-1.539733376219019,-0.334432553509,3.67985212991,4.90853658537,0.1911003783323752,0.6063502636218181,-0.0133773021404,3.68521611886,5.15243902439,0.08712212085556141,-0.24942261485685346,0.404741164759,4.61741966166,6.15853658537,0.147721657893441,0.029345402806340015,nan,nan,nan,nan,nan
T,1,18,2100,0.0575954716209,0.0262393720763,0.05516494,0.4429425613236266,-1.5430324063482321,-0.113821138211,4.03029995459,5.09146341463,-0.10590408104661149,-0.09872487021173981,0.293621013133,3.63519852955,4.32926829268,-0.3537494589176133,0.3843872404310793,-0.0190744215134,4.16880141309,5.48780487805,0.3185124939386521,0.1713761583294673,nan,nan,nan,nan,nan
T,1,18,2100,0.0573923822943,0.0261880444468,0.05386304,0.4564060171867553,-1.5320729233286148,-0.242338961851,3.82736842515,4.63414634146,0.05405645881860996,0.034319100376413836,0.129455909944,3.63992830247,4.39024390244,0.01823325417877613,-0.04761687624374966,0.0268918073796,4.53182281726,6.43292682927,0.09246989809887676,-0.19250342750320604,nan,nan,nan,nan,nan
T,1,18,2100,0.0575696490274,0.0261973566069,0.05511492,0.44996058155121776,-1.5398694311661176,0.00571646341463,3.9148899653,5.48780487805,-0.026067249117321504,-0.09838496523045226,-0.196900406504,3.75783559856,4.87804878049,-0.07150831504452373,0.07272823775104964,0.150851117886,4.34315445058,5.39634146341,-0.21149658055085488,0.4725328086631091,nan,nan,nan,nan,nan
T,1,18,2100,0.0576889821197,0.0261787860688,0.05455593,0.44964828316022665,-1.5367457634236896,-0.111996017919,3.641226407,4.69512195122,0.0589612169697959,-0.05795286822872603,0.0612867098059,3.63659004304,4.54268292683,0.13336812939430964,0.3550488329859669,0.244213539074,4.28766579323,5.76219512195,-0.08148806308991037,-0.14136062982233133,nan,nan,nan,nan,nan
T,1,18,2100,0.0575459518204,0.0262251188543,0.05427553,0.4450172028418307,-1.5400314382924323,-0.20117272784,3.83424465006,5.24390243902,0.20125413941002715,-0.16963385961691868,-0.128189133554,3.77484923921,5.0,0.2679274070061465,0.17544459076418661,-0.0601958705009,4.49000749933,5.67073170732,0.20139086224201172,0.14625244705300489,nan,nan,nan,nan,nan
